Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
700-HA32A24-30,RELAY 24VAC 10A 2PDT OCTAL TUBE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
RPM31BD-30,POWER RELAY 15A 3PDT 24VDC WITH LED,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RU2116-1BB0-30,THERMAL OVERLOAD RELAY 1.4-2.0A SIZE S00,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
E57-18LE12-A-30,PROX SENSOR INDUCTIVE M18 12MM NPN NO,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP-E 24/2.5-30,POWER SUPPLY 24VDC 2.5A 100-240VAC IN,ABB,ABB Installation,BALDOR,ABB Inc
HIH-4000-001-30,HUMIDITY SENSOR ANALOG VOLTAGE OUTPUT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
F442-10-10-30,HYDRAULIC HOSE FITTING FEMALE JIC 5/8 TUBE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140U-J0D3-C40-31,CIR BRKR 40A 3P 600V MOLDED CASE,ALLEN BRADLEY,,ROCKWELL,Rockwell Automation
QO3100-31,CIR BRKR 100A 3P 240V PLUG-IN 10KA,,Schneider Electric,,Schneider Electric
3SU1000-0AB10-0AA0-31,PUSHBUTTON 22MM ROUND PLASTIC BLACK FLUSH,SIEMENS,Siemens AG,,
BAB3030H-31,CIR BRKR 30A 3P 240V BOLT-ON 10KA,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
OT16F3-31,DISCONNECT SWITCH 3P 16A DOOR MOUNT,ABB,ABB Installation,BALDOR,ABB Inc
PX2AN1XX150PSAAX-31,HEAVY DUTY PRESSURE TRANSDUCER 150 PSI,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PL-4-2-31,PUSH-TO-CONNECT FITTING 1/4 TUBE X 1/8 NPT MALE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
25B-D010N104-32,POWERFLEX 525 VFD 5HP 480VAC 3PH,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
PKF16M434-32,PRATIKE INDUSTRIAL PLUG 16A 3P+E 400V IP44,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6GK5005-0BA00-1AB2-32,SCALANCE X005 UNMANAGED IE SWITCH 5 RJ45,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
FNQ-R-10-32,CLASS CC TIME DELAY FUSE 10A 600V,EATON,,CUTLER-HAMMER,Eaton
AF16-30-10-13-32,CONTACTOR 16A 100-250VAC/DC 3P 1NO,,ABB Installation,,ABB Inc
GLAC01A1B-32,GLOBAL LIMIT SWITCH 1NC/1NO SPDT SNAP ACTION,HONEYWELL,Honeywell Sensing,,
06L22AC-32,PNEUMATIC LUBRICATOR 1/4 NPT STANDARD MIST,PARKER,Parker Hannifin,PARKER,Parker Hannifin
42EF-D1MNAK-A2-33,PHOTOSENSOR RETRO 24VDC NPN/PNP 2M,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
XMLB010A2S12-33,PRESSURE SWITCH 10 BAR ADJUSTABLE SCALE,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6EP1333-2BA20-33,SITOP POWER SUPPLY 24VDC 5A 120/230VAC,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
C25DNF340A-33,DEFINITE PURPOSE CONTACTOR 40A 3P 120VAC,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CR-M024DC4-33,PLUG-IN MINIATURE RELAY 4PDT 6A 24VDC,ABB,ABB Installation,BALDOR,ABB Inc
CSNE151-100-33,CLOSED LOOP CURRENT SENSOR 25A PCB MOUNT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
P2LBX512ESNDDB49-33,VALVE SOLENOID 24VDC 5/2 WAY 1/4 NPT,PARKER,,PARKER,Parker Hannifin
100-C09EJ01-34,CONTACTOR 9A 24VDC 1NC 3P IEC,,Allen-Bradley,,Rockwell Automation
LC1D25BD-34,CONTACTOR 25A 24VDC 3P TEESYS D,SQUARE D,Schneider Electric,,
6ES7214-1AG40-0XB0-34,SIMATIC S7-1200 CPU 1214C DC/DC/DC 14DI/10DQ/2AI,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
XTCE018C10TD-34,CONTACTOR 18A 24VDC 1NO 3P FRAME C,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP1-10G-10-34,PUSHBUTTON 22MM COMPACT GREEN FLUSH 1NO,ABB,ABB Installation,BALDOR,ABB Inc
14CE2-1-34,COMPACT ENCLOSED SWITCH ROLLER PLUNGER 1M,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PS1-E111-34,PNEUMATIC PRESSURE SWITCH 1-10 BAR DIN CONNECTOR,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140G-G6C3-C50-35,MOLDED CASE CIR BRKR 50A 3P 480V,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
LADN22-35,AUXILIARY CONTACT BLOCK 2NO+2NC TEESYS,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RV2011-1AA10-35,CIR BRKR SIZE S00 FOR MOTOR PROT 0.9-1.25A,SIEMENS,,SIEMENS,Siemens Industry
KTK-R-15-35,CLASS CC FAST ACTING FUSE 15A 600V,,Eaton Bussmann,,Eaton
ACS380-040S-02A6-4-35,MACHINERY DRIVE 1HP 480V 3PH IP20,ABB,ABB Installation,,
AML21BBA2AA-35,PUSHBUTTON PUSH-ON/PUSH-OFF SQUARE ILLUM,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
MA33D-1/4-35,PRESSURE GAUGE 0-160 PSI 1/4 NPT BACK MOUNT,PARKER,Parker Hannifin,PARKER,Parker Hannifin
1756-L83E-36,CONTROLLOGIX 5580 CONTROLLER 10MB,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
TM221CE16R-36,MODICON M221 PLC 16 IO RELAY ETHERNET,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3SE5112-0CD02-36,LIMIT SWITCH METAL ENCLOSURE ROLLER PLUNGER,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
DG1-34012FB-C21C-36,POWERXL DG1 VFD 7.5HP 480V IP21,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
XT2N 125 EKIP LS/I IN=25A-36,TMAX XT2 CIR BRKR 25A 3P 600V,ABB,ABB Installation,BALDOR,ABB Inc
SZL-VL-S-J-36,MINIATURE LIMIT SWITCH CROSS ROLLER PLUNGER,HONEYWELL,,HONEYWELL,Honeywell International
06F22AC-36,PNEUMATIC FILTER 1/4 NPT 5 MICRON COMPACT,,Parker Hannifin,,Parker Hannifin
800T-A1A-37,PUSHBUTTON 30.5MM MOMENTARY BLACK FLUSH,ALLEN BRADLEY,Allen-Bradley,,
XB4BA21-37,PUSHBUTTON 22MM FLUSH BLACK SPRING RETURN,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6SL3210-1KE13-2UB2-37,SINAMICS G120C 1.5KW 400V 3AC PROFINET,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
M22-D-G-37,PUSHBUTTON 22.5MM NON-ILLUM GREEN FLUSH,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
TA25DU-11-37,THERMAL OVERLOAD RELAY 7.5-11A FOR AF09-AF38,ABB,ABB Installation,BALDOR,ABB Inc
MICRO SWITCH BZ-2RW82-A2-37,PREMIUM LARGE BASIC SWITCH SPDT 15A 125V,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
DX1-411-BL49-37,ISO 5599-1 SIZE 1 VALVE 5/2 SINGLE SOLENOID 24VDC,PARKER,Parker Hannifin,PARKER,Parker Hannifin
193-EEB-38,ELECTRONIC OVERLOAD RELAY 1-5A,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
QO120-38,CIR BRKR 20A 1P 120V PLUG-IN 10KA,SQUARE D,,SQUARED,Schneider Electric
3RT2015-1BB41-38,POWER CONTACTOR 7A 24VDC 3P S00 SCREW,,Siemens AG,,Siemens Industry
LPJ-30SP-38,LOW-PEAK TIME DELAY FUSE 30A 600V DUAL ELEM,EATON,Eaton Bussmann,,
EM3558T-38,BALDOR RELIANCE MOTOR 3HP 1800RPM 3PH 56C TEFC,ABB,ABB Installation,BALDOR,ABB Inc
SS49E-38,LINEAR HALL EFFECT SENSOR 3-PIN RADIAL,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
341N01-38,VALVE SOLENOID 2-WAY NC 1/4 NPT BRASS 120V,PARKER,Parker Hannifin,PARKER,Parker Hannifin
5069-IB16-39,COMPACT 5000 16PT 24VDC INPUT MODULE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
ATV320U15N4B-39,ALTIVAR 320 VFD 2HP 480V 3PH COMPACT,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3VA5110-4EC31-0AA0-39,MOLDED CASE CIR BRKR 100A 3P 480V 25KA,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
PSG240E24RM-39,POWER SUPPLY 24VDC 10A 240W DIN RAIL,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
S203-C20-39,MINIATURE CIR BRKR 20A 3P 480Y/277V C CURVE,ABB,,BALDOR,ABB Inc
24PCEFA6G-39,PRESSURE SENSOR 0-0.5 PSI GAUGE PCB MOUNT,,Honeywell Sensing,,Honeywell International
06R213AC-39,PNEUMATIC REGULATOR 1/4 NPT 0-125 PSI,PARKER,Parker Hannifin,,
700-HA32A24-40,RELAY 24VAC 10A 2PDT OCTAL TUBE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
RPM31BD-40,POWER RELAY 15A 3PDT 24VDC WITH LED,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RU2116-1BB0-40,THERMAL OVERLOAD RELAY 1.4-2.0A SIZE S00,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
E57-18LE12-A-40,PROX SENSOR INDUCTIVE M18 12MM NPN NO,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP-E 24/2.5-40,POWER SUPPLY 24VDC 2.5A 100-240VAC IN,ABB,ABB Installation,BALDOR,ABB Inc
HIH-4000-001-40,HUMIDITY SENSOR ANALOG VOLTAGE OUTPUT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
F442-10-10-40,HYDRAULIC HOSE FITTING FEMALE JIC 5/8 TUBE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140U-J0D3-C40-41,CIR BRKR 40A 3P 600V MOLDED CASE,ALLEN BRADLEY,,ROCKWELL,Rockwell Automation
QO3100-41,CIR BRKR 100A 3P 240V PLUG-IN 10KA,,Schneider Electric,,Schneider Electric
3SU1000-0AB10-0AA0-41,PUSHBUTTON 22MM ROUND PLASTIC BLACK FLUSH,SIEMENS,Siemens AG,,
BAB3030H-41,CIR BRKR 30A 3P 240V BOLT-ON 10KA,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
OT16F3-41,DISCONNECT SWITCH 3P 16A DOOR MOUNT,ABB,ABB Installation,BALDOR,ABB Inc
PX2AN1XX150PSAAX-41,HEAVY DUTY PRESSURE TRANSDUCER 150 PSI,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PL-4-2-41,PUSH-TO-CONNECT FITTING 1/4 TUBE X 1/8 NPT MALE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
25B-D010N104-42,POWERFLEX 525 VFD 5HP 480VAC 3PH,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
PKF16M434-42,PRATIKE INDUSTRIAL PLUG 16A 3P+E 400V IP44,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6GK5005-0BA00-1AB2-42,SCALANCE X005 UNMANAGED IE SWITCH 5 RJ45,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
FNQ-R-10-42,CLASS CC TIME DELAY FUSE 10A 600V,EATON,,CUTLER-HAMMER,Eaton
AF16-30-10-13-42,CONTACTOR 16A 100-250VAC/DC 3P 1NO,,ABB Installation,,ABB Inc
GLAC01A1B-42,GLOBAL LIMIT SWITCH 1NC/1NO SPDT SNAP ACTION,HONEYWELL,Honeywell Sensing,,
06L22AC-42,PNEUMATIC LUBRICATOR 1/4 NPT STANDARD MIST,PARKER,Parker Hannifin,PARKER,Parker Hannifin
42EF-D1MNAK-A2-43,PHOTOSENSOR RETRO 24VDC NPN/PNP 2M,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
XMLB010A2S12-43,PRESSURE SWITCH 10 BAR ADJUSTABLE SCALE,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6EP1333-2BA20-43,SITOP POWER SUPPLY 24VDC 5A 120/230VAC,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
C25DNF340A-43,DEFINITE PURPOSE CONTACTOR 40A 3P 120VAC,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CR-M024DC4-43,PLUG-IN MINIATURE RELAY 4PDT 6A 24VDC,ABB,ABB Installation,BALDOR,ABB Inc
CSNE151-100-43,CLOSED LOOP CURRENT SENSOR 25A PCB MOUNT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
P2LBX512ESNDDB49-43,VALVE SOLENOID 24VDC 5/2 WAY 1/4 NPT,PARKER,,PARKER,Parker Hannifin
100-C09EJ01-44,CONTACTOR 9A 24VDC 1NC 3P IEC,,Allen-Bradley,,Rockwell Automation
LC1D25BD-44,CONTACTOR 25A 24VDC 3P TEESYS D,SQUARE D,Schneider Electric,,
6ES7214-1AG40-0XB0-44,SIMATIC S7-1200 CPU 1214C DC/DC/DC 14DI/10DQ/2AI,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
XTCE018C10TD-44,CONTACTOR 18A 24VDC 1NO 3P FRAME C,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP1-10G-10-44,PUSHBUTTON 22MM COMPACT GREEN FLUSH 1NO,ABB,ABB Installation,BALDOR,ABB Inc
14CE2-1-44,COMPACT ENCLOSED SWITCH ROLLER PLUNGER 1M,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PS1-E111-44,PNEUMATIC PRESSURE SWITCH 1-10 BAR DIN CONNECTOR,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140G-G6C3-C50-45,MOLDED CASE CIR BRKR 50A 3P 480V,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
LADN22-45,AUXILIARY CONTACT BLOCK 2NO+2NC TEESYS,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RV2011-1AA10-45,CIR BRKR SIZE S00 FOR MOTOR PROT 0.9-1.25A,SIEMENS,,SIEMENS,Siemens Industry
KTK-R-15-45,CLASS CC FAST ACTING FUSE 15A 600V,,Eaton Bussmann,,Eaton
ACS380-040S-02A6-4-45,MACHINERY DRIVE 1HP 480V 3PH IP20,ABB,ABB Installation,,
AML21BBA2AA-45,PUSHBUTTON PUSH-ON/PUSH-OFF SQUARE ILLUM,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
MA33D-1/4-45,PRESSURE GAUGE 0-160 PSI 1/4 NPT BACK MOUNT,PARKER,Parker Hannifin,PARKER,Parker Hannifin
1756-L83E-46,CONTROLLOGIX 5580 CONTROLLER 10MB,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
TM221CE16R-46,MODICON M221 PLC 16 IO RELAY ETHERNET,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3SE5112-0CD02-46,LIMIT SWITCH METAL ENCLOSURE ROLLER PLUNGER,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
DG1-34012FB-C21C-46,POWERXL DG1 VFD 7.5HP 480V IP21,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
XT2N 125 EKIP LS/I IN=25A-46,TMAX XT2 CIR BRKR 25A 3P 600V,ABB,ABB Installation,BALDOR,ABB Inc
SZL-VL-S-J-46,MINIATURE LIMIT SWITCH CROSS ROLLER PLUNGER,HONEYWELL,,HONEYWELL,Honeywell International
06F22AC-46,PNEUMATIC FILTER 1/4 NPT 5 MICRON COMPACT,,Parker Hannifin,,Parker Hannifin
800T-A1A-47,PUSHBUTTON 30.5MM MOMENTARY BLACK FLUSH,ALLEN BRADLEY,Allen-Bradley,,
XB4BA21-47,PUSHBUTTON 22MM FLUSH BLACK SPRING RETURN,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6SL3210-1KE13-2UB2-47,SINAMICS G120C 1.5KW 400V 3AC PROFINET,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
M22-D-G-47,PUSHBUTTON 22.5MM NON-ILLUM GREEN FLUSH,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
TA25DU-11-47,THERMAL OVERLOAD RELAY 7.5-11A FOR AF09-AF38,ABB,ABB Installation,BALDOR,ABB Inc
MICRO SWITCH BZ-2RW82-A2-47,PREMIUM LARGE BASIC SWITCH SPDT 15A 125V,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
DX1-411-BL49-47,ISO 5599-1 SIZE 1 VALVE 5/2 SINGLE SOLENOID 24VDC,PARKER,Parker Hannifin,PARKER,Parker Hannifin
193-EEB-48,ELECTRONIC OVERLOAD RELAY 1-5A,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
QO120-48,CIR BRKR 20A 1P 120V PLUG-IN 10KA,SQUARE D,,SQUARED,Schneider Electric
3RT2015-1BB41-48,POWER CONTACTOR 7A 24VDC 3P S00 SCREW,,Siemens AG,,Siemens Industry
LPJ-30SP-48,LOW-PEAK TIME DELAY FUSE 30A 600V DUAL ELEM,EATON,Eaton Bussmann,,
EM3558T-48,BALDOR RELIANCE MOTOR 3HP 1800RPM 3PH 56C TEFC,ABB,ABB Installation,BALDOR,ABB Inc
SS49E-48,LINEAR HALL EFFECT SENSOR 3-PIN RADIAL,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
341N01-48,VALVE SOLENOID 2-WAY NC 1/4 NPT BRASS 120V,PARKER,Parker Hannifin,PARKER,Parker Hannifin
5069-IB16-49,COMPACT 5000 16PT 24VDC INPUT MODULE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
ATV320U15N4B-49,ALTIVAR 320 VFD 2HP 480V 3PH COMPACT,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3VA5110-4EC31-0AA0-49,MOLDED CASE CIR BRKR 100A 3P 480V 25KA,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
PSG240E24RM-49,POWER SUPPLY 24VDC 10A 240W DIN RAIL,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
S203-C20-49,MINIATURE CIR BRKR 20A 3P 480Y/277V C CURVE,ABB,,BALDOR,ABB Inc
24PCEFA6G-49,PRESSURE SENSOR 0-0.5 PSI GAUGE PCB MOUNT,,Honeywell Sensing,,Honeywell International
06R213AC-49,PNEUMATIC REGULATOR 1/4 NPT 0-125 PSI,PARKER,Parker Hannifin,,
700-HA32A24-50,RELAY 24VAC 10A 2PDT OCTAL TUBE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
RPM31BD-50,POWER RELAY 15A 3PDT 24VDC WITH LED,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RU2116-1BB0-50,THERMAL OVERLOAD RELAY 1.4-2.0A SIZE S00,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
E57-18LE12-A-50,PROX SENSOR INDUCTIVE M18 12MM NPN NO,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP-E 24/2.5-50,POWER SUPPLY 24VDC 2.5A 100-240VAC IN,ABB,ABB Installation,BALDOR,ABB Inc
HIH-4000-001-50,HUMIDITY SENSOR ANALOG VOLTAGE OUTPUT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
F442-10-10-50,HYDRAULIC HOSE FITTING FEMALE JIC 5/8 TUBE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140U-J0D3-C40-51,CIR BRKR 40A 3P 600V MOLDED CASE,ALLEN BRADLEY,,ROCKWELL,Rockwell Automation
QO3100-51,CIR BRKR 100A 3P 240V PLUG-IN 10KA,,Schneider Electric,,Schneider Electric
3SU1000-0AB10-0AA0-51,PUSHBUTTON 22MM ROUND PLASTIC BLACK FLUSH,SIEMENS,Siemens AG,,
BAB3030H-51,CIR BRKR 30A 3P 240V BOLT-ON 10KA,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
OT16F3-51,DISCONNECT SWITCH 3P 16A DOOR MOUNT,ABB,ABB Installation,BALDOR,ABB Inc
PX2AN1XX150PSAAX-51,HEAVY DUTY PRESSURE TRANSDUCER 150 PSI,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PL-4-2-51,PUSH-TO-CONNECT FITTING 1/4 TUBE X 1/8 NPT MALE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
25B-D010N104-52,POWERFLEX 525 VFD 5HP 480VAC 3PH,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
PKF16M434-52,PRATIKE INDUSTRIAL PLUG 16A 3P+E 400V IP44,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6GK5005-0BA00-1AB2-52,SCALANCE X005 UNMANAGED IE SWITCH 5 RJ45,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
FNQ-R-10-52,CLASS CC TIME DELAY FUSE 10A 600V,EATON,,CUTLER-HAMMER,Eaton
AF16-30-10-13-52,CONTACTOR 16A 100-250VAC/DC 3P 1NO,,ABB Installation,,ABB Inc
GLAC01A1B-52,GLOBAL LIMIT SWITCH 1NC/1NO SPDT SNAP ACTION,HONEYWELL,Honeywell Sensing,,
06L22AC-52,PNEUMATIC LUBRICATOR 1/4 NPT STANDARD MIST,PARKER,Parker Hannifin,PARKER,Parker Hannifin
42EF-D1MNAK-A2-53,PHOTOSENSOR RETRO 24VDC NPN/PNP 2M,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
XMLB010A2S12-53,PRESSURE SWITCH 10 BAR ADJUSTABLE SCALE,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6EP1333-2BA20-53,SITOP POWER SUPPLY 24VDC 5A 120/230VAC,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
C25DNF340A-53,DEFINITE PURPOSE CONTACTOR 40A 3P 120VAC,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CR-M024DC4-53,PLUG-IN MINIATURE RELAY 4PDT 6A 24VDC,ABB,ABB Installation,BALDOR,ABB Inc
CSNE151-100-53,CLOSED LOOP CURRENT SENSOR 25A PCB MOUNT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
P2LBX512ESNDDB49-53,VALVE SOLENOID 24VDC 5/2 WAY 1/4 NPT,PARKER,,PARKER,Parker Hannifin
100-C09EJ01-54,CONTACTOR 9A 24VDC 1NC 3P IEC,,Allen-Bradley,,Rockwell Automation
LC1D25BD-54,CONTACTOR 25A 24VDC 3P TEESYS D,SQUARE D,Schneider Electric,,
6ES7214-1AG40-0XB0-54,SIMATIC S7-1200 CPU 1214C DC/DC/DC 14DI/10DQ/2AI,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
XTCE018C10TD-54,CONTACTOR 18A 24VDC 1NO 3P FRAME C,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP1-10G-10-54,PUSHBUTTON 22MM COMPACT GREEN FLUSH 1NO,ABB,ABB Installation,BALDOR,ABB Inc
14CE2-1-54,COMPACT ENCLOSED SWITCH ROLLER PLUNGER 1M,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PS1-E111-54,PNEUMATIC PRESSURE SWITCH 1-10 BAR DIN CONNECTOR,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140G-G6C3-C50-55,MOLDED CASE CIR BRKR 50A 3P 480V,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
LADN22-55,AUXILIARY CONTACT BLOCK 2NO+2NC TEESYS,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RV2011-1AA10-55,CIR BRKR SIZE S00 FOR MOTOR PROT 0.9-1.25A,SIEMENS,,SIEMENS,Siemens Industry
KTK-R-15-55,CLASS CC FAST ACTING FUSE 15A 600V,,Eaton Bussmann,,Eaton
ACS380-040S-02A6-4-55,MACHINERY DRIVE 1HP 480V 3PH IP20,ABB,ABB Installation,,
AML21BBA2AA-55,PUSHBUTTON PUSH-ON/PUSH-OFF SQUARE ILLUM,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
MA33D-1/4-55,PRESSURE GAUGE 0-160 PSI 1/4 NPT BACK MOUNT,PARKER,Parker Hannifin,PARKER,Parker Hannifin
1756-L83E-56,CONTROLLOGIX 5580 CONTROLLER 10MB,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
TM221CE16R-56,MODICON M221 PLC 16 IO RELAY ETHERNET,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3SE5112-0CD02-56,LIMIT SWITCH METAL ENCLOSURE ROLLER PLUNGER,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
DG1-34012FB-C21C-56,POWERXL DG1 VFD 7.5HP 480V IP21,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
XT2N 125 EKIP LS/I IN=25A-56,TMAX XT2 CIR BRKR 25A 3P 600V,ABB,ABB Installation,BALDOR,ABB Inc
SZL-VL-S-J-56,MINIATURE LIMIT SWITCH CROSS ROLLER PLUNGER,HONEYWELL,,HONEYWELL,Honeywell International
06F22AC-56,PNEUMATIC FILTER 1/4 NPT 5 MICRON COMPACT,,Parker Hannifin,,Parker Hannifin
800T-A1A-57,PUSHBUTTON 30.5MM MOMENTARY BLACK FLUSH,ALLEN BRADLEY,Allen-Bradley,,
XB4BA21-57,PUSHBUTTON 22MM FLUSH BLACK SPRING RETURN,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6SL3210-1KE13-2UB2-57,SINAMICS G120C 1.5KW 400V 3AC PROFINET,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
M22-D-G-57,PUSHBUTTON 22.5MM NON-ILLUM GREEN FLUSH,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
TA25DU-11-57,THERMAL OVERLOAD RELAY 7.5-11A FOR AF09-AF38,ABB,ABB Installation,BALDOR,ABB Inc
MICRO SWITCH BZ-2RW82-A2-57,PREMIUM LARGE BASIC SWITCH SPDT 15A 125V,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
DX1-411-BL49-57,ISO 5599-1 SIZE 1 VALVE 5/2 SINGLE SOLENOID 24VDC,PARKER,Parker Hannifin,PARKER,Parker Hannifin
193-EEB-58,ELECTRONIC OVERLOAD RELAY 1-5A,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
QO120-58,CIR BRKR 20A 1P 120V PLUG-IN 10KA,SQUARE D,,SQUARED,Schneider Electric
3RT2015-1BB41-58,POWER CONTACTOR 7A 24VDC 3P S00 SCREW,,Siemens AG,,Siemens Industry
LPJ-30SP-58,LOW-PEAK TIME DELAY FUSE 30A 600V DUAL ELEM,EATON,Eaton Bussmann,,
EM3558T-58,BALDOR RELIANCE MOTOR 3HP 1800RPM 3PH 56C TEFC,ABB,ABB Installation,BALDOR,ABB Inc
